"Species","Year","baseline_year","prob_decline","percent_change_q025","percent_change_q05","percent_change_q10","percent_change_q50","percent_change_mean","percent_change_q90","percent_change_q95","percent_change_q975"
"ARTE",1970,1970,0,0,0,0,0,0,0,0,0
"ARTE",1971,1970,0.812666666666667,-29.3347611557354,-24.0471763864041,-18.083321605978,-4.81843625886526,-6.55910545298426,1.88218930776233,3.99247545535775,5.50461831464052
"ARTE",1972,1970,0.809,-48.7687366437602,-40.6554266014492,-31.7009838933166,-9.0885977037023,-11.4197811464602,3.99831399186386,8.27544867870295,11.5949644059265
"ARTE",1973,1970,0.801666666666667,-61.6224293258246,-52.5915689450172,-41.7873810155961,-12.7754053760972,-14.9586677071387,6.22494792136531,13.0648322465364,17.9934470027936
"ARTE",1974,1970,0.794666666666667,-70.3332255159039,-61.1909898495108,-49.4112724920602,-15.5821866529983,-17.4494814843995,8.81628275526734,18.0100284128227,25.3358296085029
"ARTE",1975,1970,0.785666666666667,-76.6602226047509,-67.5039096548329,-55.2956821673221,-17.8672494253669,-19.0986060836858,11.3502416020509,23.3083957205227,33.2926260558209
"ARTE",1976,1970,0.778333333333333,-80.3676939866923,-72.2054108892449,-59.9575148533269,-19.834832786286,-20.06782196532,14.4756753822539,28.3785106554452,41.2405084428863
"ARTE",1977,1970,0.769333333333333,-83.4602791090155,-75.3950959590967,-63.2890760108087,-21.2411442947511,-20.4884692278087,17.5307502004567,33.068701036223,49.5297830514071
"ARTE",1978,1970,0.757,-85.4365211672058,-77.443077547596,-65.9969495187383,-22.5524678238402,-20.4697988573184,21.0811265592222,38.9197474373895,59.6757169061471
"ARTE",1979,1970,0.748,-87.1739240087168,-78.7778525292482,-67.7733472314034,-23.2721036799732,-20.1035043930104,24.8953147788824,45.157014157235,69.2206983028742
"ARTE",1980,1970,0.741666666666667,-88.3155504371256,-79.8750336916983,-68.9715156471364,-23.4945858976888,-19.4660827427217,28.7165576535965,50.0877385533888,76.8388252490696
"ARTE",1981,1970,0.733333333333333,-88.9806630593337,-80.7900871865611,-70.1536003729793,-23.7564711596744,-18.6204362305558,33.1181055034507,55.5020850432885,86.3776721374389
"ARTE",1982,1970,0.724333333333333,-89.3237850977197,-81.2665792571814,-71.1543028906749,-23.7599569287517,-17.617793733474,37.7364251410652,61.3552346631037,90.8868695246504
"ARTE",1983,1970,0.709,-89.2782227789673,-81.1012072848169,-70.9713545005225,-23.601974918829,-16.5005491008343,41.5618665305285,68.2763580224658,98.9474474149281
"ARTE",1984,1970,0.701333333333333,-89.1626885021865,-81.2455599608593,-70.5475620222964,-23.2786428532229,-15.3060759453395,45.1046055036311,74.5212586073842,107.767353804466
"ARTE",1985,1970,0.691,-88.7161495460631,-80.8649507946156,-70.5584920101786,-22.3352492313267,-14.0711147516184,48.2128483439913,79.6804911847594,114.332037993664
"ARTE",1986,1970,0.677666666666667,-88.3319724979846,-81.0404953726391,-70.4438470120744,-22.2221409919928,-12.8360377630693,51.2375811597072,83.965436652543,120.317813481581
"ARTE",1987,1970,0.671,-87.5502776113085,-80.442034122879,-70.1599123040106,-21.7326658670787,-11.6481999214823,53.4916573181885,86.9442453284416,122.492325016227
"ARTE",1988,1970,0.660333333333333,-86.9279477121592,-79.8574410437816,-69.8539400364306,-21.2010237648112,-10.5636461081948,56.6165736987207,90.7770966579217,130.099714454312
"ARTE",1989,1970,0.653666666666667,-86.4849557028404,-79.5190888995723,-69.1047453603422,-20.6715398307895,-9.64662369078735,59.4494204129205,92.9780723479249,132.433159154302
"ARTE",1990,1970,0.652333333333333,-86.0087146185209,-79.3838826348407,-68.8441463431057,-20.101470028618,-8.9666262479086,61.6543350735547,95.7862994942278,133.925544487229
"ARTE",1991,1970,0.653,-85.4358786053153,-78.4925526226565,-68.5012902363313,-20.1087078549435,-8.59307193765443,61.4703111045912,97.3780449020402,136.607731745941
"ARTE",1992,1970,0.654333333333333,-84.9493554279405,-78.3100896237379,-68.6634706443829,-20.0780638519872,-8.58818954075483,61.8979650670615,99.0062686521758,133.600683699772
"ARTE",1993,1970,0.656333333333333,-83.9299705791673,-78.140201623894,-68.9925830876033,-20.4171263126723,-8.99918414923116,59.8926669372357,96.858223550131,129.625281029601
"ARTE",1994,1970,0.659,-83.623406018938,-77.7566833463194,-69.1927321449032,-21.3674614137483,-9.85114436083532,58.2690556822616,94.3239227861212,131.112207808876
"ARTE",1995,1970,0.667666666666667,-83.373535518269,-77.7663489503348,-69.3335124120784,-22.1482163252271,-11.1422498726379,56.6962591708639,91.4623069175464,128.889670797424
"ARTE",1996,1970,0.677333333333333,-82.8120453041235,-77.8587498213454,-69.7918273714196,-23.6487692648169,-12.8425047911797,53.1630954955426,86.7904311489374,127.10399600551
"ARTE",1997,1970,0.693333333333333,-83.2682675543656,-77.9881403998916,-70.1334885098527,-25.3255225511264,-14.8964745121874,49.859247131028,81.4678095297673,115.303132909181
"ARTE",1998,1970,0.711333333333333,-83.1570571587138,-78.7399654411186,-70.7013972738188,-27.1631666072697,-17.2295550613679,44.7342459109231,77.9208720027764,106.802132607006
"ARTE",1999,1970,0.731,-83.5710547642506,-79.2783577144698,-71.4029708105774,-29.3581673502696,-19.7564820181692,40.2402716648303,71.9702030286613,102.604360002853
"ARTE",2000,1970,0.753333333333333,-84.3452454040161,-80.1738822989211,-72.35576675468,-31.8586437198353,-22.3903752676844,36.5148541588971,65.1923604445676,93.4562307970538
"ARTE",2001,1970,0.775,-84.9311035327972,-80.8050890193669,-73.2328196742923,-33.934430549091,-25.0507168706059,32.728735499808,60.2131985292281,88.0501682242859
"ARTE",2002,1970,0.793,-85.7058430676677,-81.3359227433409,-74.6829245583179,-36.2487129023948,-27.6691614604928,27.9430349730236,56.156521540536,81.2373006807809
"ARTE",2003,1970,0.811,-86.5282000873383,-82.0671274891612,-75.799890176918,-39.2742387623819,-30.1927424736714,23.6723817494065,50.7392056330722,83.9400150580012
"ARTE",2004,1970,0.829666666666667,-87.3114124699856,-83.358526787546,-77.1703374847658,-41.9796021665066,-32.5846255631157,20.1973192324619,46.5577696120682,78.4731480857714
"ARTE",2005,1970,0.843,-88.1974195087451,-84.2018844117856,-78.2775226357112,-44.4767488484848,-34.8229334843364,17.0089866947706,43.7970379598991,77.7139255913015
"ARTE",2006,1970,0.853333333333333,-88.8615141813557,-84.9907467927559,-79.7337282590835,-46.683405939352,-36.8983059021569,14.8853343973812,40.0507496995485,72.6518850852453
"ARTE",2007,1970,0.861666666666667,-89.5260789940322,-85.8578248645492,-80.7135005229028,-48.9949727701496,-38.8108257314287,12.028388805526,38.2600538945737,74.3820457098509
"ARTE",2008,1970,0.873,-90.1783821542826,-86.5801459356508,-81.5681364117882,-51.378661792511,-40.5668264981009,8.79543308582361,37.1558781058582,75.353681961416
"ARTE",2009,1970,0.878,-90.7416664875349,-87.3396105754149,-82.3672786672559,-53.2919743860906,-42.1759588868956,6.20648406329434,36.2347911818637,75.9105724992097
"ARTE",2010,1970,0.884666666666667,-91.2454684721904,-88.1265437862117,-83.1808175018408,-55.4468930110171,-43.648770996383,4.24174409816677,35.5260466814125,72.2190190335343
"ARTE",2011,1970,0.893333333333333,-91.7701273502636,-88.7440981401051,-83.9926314225923,-56.9921283444855,-44.9949503763139,1.80908045040658,36.1338291971018,69.8209230301554
"ARTE",2012,1970,0.898,-92.1821981146706,-89.368226613269,-84.6371333133302,-58.5464190437873,-46.2222796645286,0.541125307476893,35.6847515305631,73.4916053923834
"ARTE",2013,1970,0.901333333333333,-92.5332023251765,-90.0593216513534,-85.2225461232198,-59.8768732339326,-47.336267099968,-0.60112193256329,36.1658038446904,75.3199555782128
"ARTE",2014,1970,0.902666666666667,-93.0807991145147,-90.5724856575371,-85.8712793029328,-61.3239996617332,-48.3403328215202,-1.91495718810096,35.4741632241013,76.5774399681243
"ARTE",2015,1970,0.904666666666667,-93.469229968597,-90.9405625337926,-86.512834851449,-62.8290401996619,-49.2363728938797,-2.14297165818845,35.4656601548707,76.8658749311586
"ARTE",2016,1970,0.906333333333333,-93.7964363023657,-91.2502690733694,-86.9971952932832,-63.9774974117521,-50.0254961981413,-2.45896811670419,33.8299985486224,77.4162104210316
"ARTE",2017,1970,0.906333333333333,-93.9434337492868,-91.6309695079716,-87.6681495514351,-65.0595754662157,-50.708738243364,-2.99498673260816,35.2353230638466,79.0380235467839
"ARTE",2018,1970,0.908,-94.2062757097533,-91.9683155163284,-88.2315131834462,-66.2844982388314,-51.2875948381682,-2.94723764925244,33.9577016582054,80.3242381756195
"ARTE",2019,1970,0.908333333333333,-94.5203255256286,-92.343819135672,-88.8079065068985,-67.1921367734343,-51.7642752960049,-3.59198328391684,35.9250216478205,80.1721355403976
"ARTE",2020,1970,0.908666666666667,-94.8677803510963,-92.7114520303266,-89.3908522511187,-67.7285191258068,-52.1416359789551,-3.17451266651589,35.9112079330187,82.5877312647142
"ARTE",2021,1970,0.907666666666667,-95.3117452975014,-93.0137174139714,-89.7914779963001,-68.2224295628869,-52.4228089203475,-3.75600086680898,36.1950288472525,82.3865319961289
"ATPU",1970,1970,0,0,0,0,0,0,0,0,0
"ATPU",1971,1970,0.551,-5.68593661844553,-4.51574611847748,-3.27360887737917,-0.237903840184123,-0.535802142715786,1.82279310134921,2.39725983689522,2.87754005026619
"ATPU",1972,1970,0.532666666666667,-10.5263591751021,-8.48093775638304,-6.0936522233172,-0.273144533203721,-0.817184449135445,3.84754738013116,5.00847448933493,5.94356554902392
"ATPU",1973,1970,0.509333333333333,-14.5590477871929,-11.6647950763202,-8.44322353507139,-0.115334900962182,-0.843523613014844,6.02173079585994,7.86850929223592,9.35447571578957
"ATPU",1974,1970,0.489666666666667,-17.8917907407176,-14.4217267490056,-10.5259211051851,0.19369234448799,-0.61744402231295,8.33507298042417,10.8266967686428,12.9439805145391
"ATPU",1975,1970,0.468666666666667,-20.7200487360446,-16.735834715342,-12.1158606984131,0.658306983455262,-0.14403726356251,10.7561985119776,13.9668043965078,16.5728974531772
"ATPU",1976,1970,0.448666666666667,-22.8106642230818,-18.6597447530609,-13.2191760050633,1.37983632492604,0.569944582517018,13.3275354023485,17.5823845110106,20.3651656982561
"ATPU",1977,1970,0.422333333333333,-24.7271604869844,-20.1892956311038,-14.0127713613508,2.25724371610705,1.51680793688736,16.3560787386867,21.2043185329684,24.2787474605059
"ATPU",1978,1970,0.398333333333333,-26.1800076917792,-21.0134390146855,-14.5716267978197,3.38984157688828,2.68844470975245,19.3329806913733,24.781890864056,28.4783294224777
"ATPU",1979,1970,0.375333333333333,-27.3007869554189,-21.8928393737109,-14.8003694072481,4.65122574149511,4.07658343741123,22.7410913540284,28.7020190367506,32.9699525542191
"ATPU",1980,1970,0.345666666666667,-28.2617793758978,-22.3311203972543,-14.9625786083803,6.11116804399327,5.67271338840446,26.0358570580263,32.6228419616051,37.5479255134886
"ATPU",1981,1970,0.323,-28.3562664649996,-22.2496637326196,-14.6359078995215,7.58064385253242,7.46767421928914,29.6696320000305,36.8511508974049,42.3171825870122
"ATPU",1982,1970,0.297,-28.4615533595805,-21.9718778149133,-14.0090991805472,9.35773572059688,9.45095471498999,33.4128324442057,41.2413530022261,47.3304388775948
"ATPU",1983,1970,0.274666666666667,-28.1101178702873,-21.6187750386206,-13.3251386810463,11.4147089228618,11.6097962060749,37.516258729636,45.5318894441962,52.2125417765299
"ATPU",1984,1970,0.254,-28.0475011572471,-20.6799068141309,-12.4625789959642,13.6100256062323,13.9282422693577,41.4305530283909,50.1382245797113,57.2178823686064
"ATPU",1985,1970,0.228666666666667,-27.8598282274552,-19.9388103374287,-11.4510799107522,15.6222728510488,16.3863091779301,45.2724719078799,54.8293041246807,62.3055524092904
"ATPU",1986,1970,0.208333333333333,-27.2968918158554,-18.8591637448876,-10.6172746982081,18.0880505601699,18.9594648951126,49.5753738961264,59.6243495418815,67.8138858976795
"ATPU",1987,1970,0.189,-25.9967080974724,-17.9492020472732,-9.54224302155197,20.6366835657011,21.6185929607179,53.6117277509484,64.5357185918993,73.8022696041547
"ATPU",1988,1970,0.169333333333333,-25.040264649053,-17.1727127032506,-8.39140377621342,23.5490716884854,24.3305778442586,57.7013245758997,68.9667997305194,79.8998600032973
"ATPU",1989,1970,0.154666666666667,-23.9805698919069,-16.5892605980146,-7.10189468515373,26.4151110619698,27.0595795432493,61.6951167842676,74.0592114513262,85.5642836599389
"ATPU",1990,1970,0.141333333333333,-22.758621576757,-15.6022518481521,-5.40437872022165,29.1898638503154,29.7689713372615,65.5786143389735,78.9294978019071,91.1347174432787
"ATPU",1991,1970,0.127666666666667,-21.7121404000128,-14.4360936852851,-4.04197603434312,31.7135627707484,32.423805985933,69.3700285316353,83.4927892513429,96.4117518223459
"ATPU",1992,1970,0.120333333333333,-21.2947588078693,-13.6113850971126,-2.88833727535386,34.4959732960248,34.993569368369,73.0572663993008,87.7565755357153,101.201894291845
"ATPU",1993,1970,0.111,-20.9182339725252,-12.7480947949459,-1.72175961654249,36.9430484153386,37.4548983498954,76.2132867704362,91.9486675975446,105.955883054474
"ATPU",1994,1970,0.103333333333333,-20.4432493586933,-11.9419139086317,-0.482221231577457,39.1977365513728,39.793902993768,79.6820859623496,96.7328388022733,109.774426143247
"ATPU",1995,1970,0.0963333333333333,-19.6733040874849,-10.7913169944282,0.584051524563687,41.2664654512085,42.0077566296131,82.5790654325916,101.298088614454,114.0400740196
"ATPU",1996,1970,0.0893333333333333,-18.9204299886371,-9.62964995673807,1.7622149436825,43.2678661095971,44.1053024253146,85.3317907554453,105.06946722783,118.851818099657
"ATPU",1997,1970,0.081,-18.555018601682,-8.7475342929304,3.19460430731178,45.1589107126758,46.1065584581865,88.0909384412544,108.178719685532,121.280655853676
"ATPU",1998,1970,0.078,-17.5169862807697,-7.87726717350932,4.38476348432673,47.0199544125636,48.0411589070974,91.4936813917161,111.212731955199,125.199225041306
"ATPU",1999,1970,0.075,-17.0614383523648,-6.84507638826539,5.35859740130678,48.813053355446,49.9459158404821,94.8684170324233,114.314722151137,126.509199345928
